SDSS_J              R.A.        Dec.          z     u_mag   sig_u   g_mag   sig_g   r_mag   sig_r   i_mag   sig_i   z_mag   sig_z   Radio   X-ray   J_mag   sig_J   H_mag   sig_H   K_mag   sig_K   M_i
000009.26+151754.5  0.038605    15.298476   1.1986  19.921  0.042   19.811  0.036   19.386  0.017   19.165  0.023   19.323  0.069   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.085
000009.38+135618.4  0.039088    13.938447   2.2400  19.218  0.026   18.893  0.022   18.445  0.018   18.331  0.024   18.110  0.033   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.419
000009.42-102751.9  0.039269    -10.464428  1.8442  19.249  0.036   19.029  0.027   18.980  0.021   18.791  0.018   18.751  0.047   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.459
000011.41+145545.6  0.047547    14.929353   0.4596  19.637  0.030   19.466  0.024   19.362  0.022   19.193  0.025   19.005  0.047   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.728
000011.96+000225.3  0.049842    0.040372    0.4790  18.237  0.028   17.971  0.020   18.025  0.019   17.956  0.014   17.911  0.029   0.000   -1.660  16.651  0.136   15.820  0.149   14.821  0.111   -24.046
000013.14+141034.6  0.054786    14.176303   0.9491  19.519  0.034   19.281  0.028   19.115  0.016   19.155  0.024   19.071  0.053   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.568
000017.38-085123.7  0.072421    -8.856607   1.2499  19.151  0.034   18.722  0.020   18.263  0.021   18.276  0.036   18.260  0.037   13.966  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.062
000024.02+152005.4  0.100116    15.334840   0.9885  19.413  0.044   19.183  0.035   18.988  0.015   19.079  0.023   19.133  0.060   -1.000  -1.877  0.000   0.000   0.000   0.000   0.000   0.000   -24.707
000026.29+134604.6  0.109578    13.767970   0.7678  19.345  0.030   18.998  0.023   18.922  0.023   19.010  0.022   18.838  0.042   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.194
000028.82-102755.7  0.120086    -10.465496  1.1377  20.461  0.086   19.697  0.030   19.176  0.016   19.143  0.023   19.105  0.061   15.450  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.972
000035.75-103305.3  0.148966    -10.551496  1.2177  19.404  0.041   19.455  0.029   19.045  0.015   19.006  0.023   19.181  0.066   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.264
000038.99-001803.9  0.162498    -0.301102   2.1224  19.204  0.044   19.076  0.022   18.886  0.017   18.894  0.018   18.794  0.044   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.673
000042.89+005539.5  0.178746    0.927660    0.9512  18.353  0.037   18.150  0.015   17.941  0.011   17.899  0.021   17.802  0.024   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.763
000043.95-091134.9  0.183138    -9.193034   0.4388  19.055  0.038   18.724  0.033   18.576  0.020   18.370  0.025   18.151  0.029   0.000   -9.000  17.076  0.160   16.324  0.196   15.122  0.128   -23.432
000049.46-100043.8  0.206107    -10.012181  1.1375  21.713  0.198   21.082  0.052   20.484  0.033   20.345  0.044   19.771  0.112   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.763
000050.60-102155.9  0.210836    -10.365530  2.6402  19.454  0.046   18.422  0.020   18.392  0.025   18.309  0.025   17.937  0.029   13.147  -9.000  16.735  0.113   16.190  0.175   16.017  0.276   -27.765
000053.09-003712.8  0.221220    -0.620238   1.3201  18.935  0.040   18.670  0.020   18.583  0.024   18.597  0.023   18.654  0.041   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.879
000053.71+150637.1  0.223831    15.110330   1.4111  19.992  0.042   19.681  0.017   19.290  0.018   19.077  0.021   19.083  0.056   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.559
000056.89-010409.7  0.237056    -1.069386   2.1065  20.502  0.070   20.186  0.034   19.632  0.022   19.279  0.029   18.842  0.050   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.287
000057.67-085617.0  0.240325    -8.938063   1.0948  18.663  0.021   18.527  0.017   18.266  0.017   18.180  0.017   18.092  0.032   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.839
000058.22-004646.5  0.242602    -0.779604   1.8951  18.847  0.034   18.909  0.037   18.924  0.018   18.594  0.017   18.482  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.732
000058.77+003510.5  0.244895    0.586257    1.6547  20.208  0.054   19.831  0.026   19.339  0.018   18.878  0.024   18.798  0.045   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.098
000102.18-102326.9  0.259117    -10.390822  0.2943  18.984  0.033   18.690  0.022   18.326  0.014   18.240  0.016   17.660  0.023   0.000   -1.547  16.904  0.136   16.473  0.206   15.769  0.248   -22.615
000103.85-104630.3  0.266059    -10.775086  2.0808  18.717  0.031   18.513  0.018   18.408  0.018   18.145  0.015   17.955  0.028   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.381
000104.92+160101.2  0.270513    16.017013   0.4529  19.886  0.044   19.571  0.020   19.256  0.016   18.975  0.021   18.750  0.040   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.904
000109.12-004121.6  0.288026    -0.689356   0.4166  19.377  0.036   19.142  0.034   18.955  0.034   18.859  0.020   18.617  0.040   0.000   -9.000  17.030  0.209   16.139  0.180   15.133  0.126   -22.824
000110.97-105247.4  0.295719    -10.879853  0.5283  17.995  0.022   17.655  0.026   17.639  0.016   17.485  0.025   17.516  0.028   0.000   -9.000  16.467  0.095   15.614  0.112   14.916  0.108   -24.764
000111.19-002011.5  0.296657    -0.336535   0.5178  19.265  0.041   18.729  0.019   18.603  0.020   18.308  0.017   18.234  0.033   12.983  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.894
000116.00+141123.0  0.316675    14.189731   0.4037  19.007  0.026   18.682  0.021   18.704  0.016   18.556  0.021   18.156  0.029   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.089
000118.40-010221.8  0.326670    -1.039395   1.9685  19.911  0.055   19.900  0.026   19.756  0.025   19.459  0.025   19.337  0.074   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.950
000119.64+154828.8  0.331834    15.808002   1.9242  19.661  0.038   19.555  0.019   19.301  0.024   19.016  0.019   18.826  0.044   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.345
000120.23-111104.2  0.334323    -11.184505  1.4131  19.364  0.039   19.610  0.031   19.306  0.019   19.244  0.029   19.258  0.072   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.385
000123.96-102458.1  0.349843    -10.416147  1.0575  18.524  0.027   18.435  0.021   18.223  0.014   18.290  0.016   18.214  0.031   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.663
000124.23-093349.8  0.350965    -9.563839   1.6337  19.629  0.048   19.334  0.025   19.289  0.020   19.029  0.019   18.924  0.063   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.948
000131.42+144610.6  0.380933    14.769632   0.5304  19.281  0.026   19.010  0.024   19.062  0.014   18.869  0.020   18.841  0.046   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.410
000132.83+145608.0  0.386795    14.935573   0.3989  19.223  0.026   19.197  0.024   19.249  0.015   19.038  0.020   18.393  0.035   -1.000  -1.412  16.584  0.100   15.611  0.149   15.274  0.165   -22.550
000139.42+152624.1  0.414274    15.440038   1.7897  18.889  0.024   18.751  0.015   18.469  0.019   18.103  0.018   18.192  0.031   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.092
000139.64-103824.1  0.415169    -10.640032  1.8206  19.722  0.046   19.723  0.023   19.653  0.024   19.284  0.022   19.441  0.079   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.940
000141.43+002356.3  0.422646    0.398993    0.9347  19.289  0.035   19.031  0.024   18.865  0.015   18.943  0.027   18.890  0.051   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.685
000143.31-104448.8  0.430461    -10.746913  1.3405  19.585  0.039   19.568  0.020   19.269  0.021   19.244  0.023   19.285  0.070   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.260
000143.41+152021.4  0.430881    15.339283   2.6382  19.843  0.038   19.233  0.017   19.028  0.016   18.947  0.019   18.857  0.050   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.129
000149.52-100251.7  0.456359    -10.047720  0.3577  19.259  0.038   19.214  0.036   19.101  0.023   19.041  0.035   18.489  0.043   0.000   -9.000  17.473  0.226   16.852  0.100   15.149  0.152   -22.279
000159.12-094712.5  0.496343    -9.786828   2.3084  19.835  0.043   19.323  0.025   19.275  0.025   19.167  0.023   18.904  0.060   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.606
000159.56+135933.4  0.498193    13.992627   1.2721  19.503  0.029   19.341  0.017   19.086  0.018   19.068  0.022   19.131  0.053   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.367
000205.45-104936.9  0.522748    -10.826941  0.9299  18.134  0.025   17.927  0.022   17.820  0.025   17.921  0.021   17.781  0.029   0.000   -9.000  16.592  0.120   16.370  0.198   15.776  0.254   -25.707
000208.83-001742.6  0.536801    -0.295183   0.6519  19.191  0.031   18.928  0.022   18.832  0.022   18.702  0.019   18.732  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.049
000216.62+134916.3  0.569259    13.821206   1.2716  19.484  0.035   19.391  0.025   18.925  0.015   18.881  0.023   18.978  0.047   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.556
000219.34-105259.6  0.580597    -10.883231  1.7620  22.033  0.281   21.199  0.058   20.677  0.045   19.986  0.039   20.045  0.153   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.165
000220.76-104248.5  0.586511    -10.713478  1.0164  19.185  0.029   18.992  0.025   18.742  0.020   18.866  0.023   18.843  0.049   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.971
000221.11+002149.3  0.587986    0.363712    3.0570  20.257  0.060   19.110  0.022   18.849  0.022   18.726  0.019   18.830  0.049   13.627  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.652
000221.80+151454.5  0.590861    15.248488   1.8235  18.970  0.025   18.852  0.013   18.810  0.017   18.518  0.020   18.403  0.038   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.722
000222.47-000443.5  0.593639    -0.078754   0.8104  18.960  0.041   18.378  0.020   18.231  0.025   18.169  0.014   17.933  0.026   14.834  -9.000  16.606  0.118   16.526  0.258   15.769  0.222   -25.113
000226.10+000549.1  0.608750    0.096981    1.6512  18.969  0.036   18.713  0.019   18.682  0.014   18.448  0.015   18.466  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.533
000230.71+004959.0  0.627969    0.833065    1.3527  19.075  0.037   18.683  0.020   18.123  0.026   17.963  0.013   17.988  0.024   0.000   -9.000  16.860  0.150   16.210  0.100   15.532  0.100   -26.539
000238.41-101149.8  0.660074    -10.197170  3.9406  25.950  0.743   21.793  0.070   20.248  0.031   20.045  0.046   19.854  0.110   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.911
000246.18+155955.8  0.692454    15.998853   0.3740  19.529  0.033   19.305  0.018   19.222  0.015   19.186  0.025   18.579  0.040   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.245
000253.21-090700.1  0.721714    -9.116703   0.4597  19.838  0.044   19.420  0.019   19.245  0.023   19.065  0.025   18.881  0.055   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.852
000253.25-085530.9  0.721907    -8.925259   0.8497  19.465  0.034   19.156  0.018   19.079  0.023   19.100  0.026   18.881  0.058   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.296
000257.36-090015.0  0.739030    -9.004174   0.5166  20.210  0.058   19.620  0.020   19.416  0.024   19.135  0.026   18.897  0.058   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.054
000300.35+160027.6  0.751459    16.007676   3.6754  24.073  1.034   20.853  0.033   19.677  0.019   19.582  0.029   19.318  0.070   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.228
000303.35-105150.6  0.763963    -10.864074  3.6467  25.821  0.908   20.490  0.038   19.312  0.024   19.251  0.023   19.000  0.061   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.533
000316.00-095951.7  0.816699    -9.997711   1.4284  19.701  0.045   19.696  0.021   19.467  0.022   19.262  0.028   19.326  0.079   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.389
000319.86-090156.2  0.832791    -9.032279   1.7602  17.856  0.021   17.740  0.018   17.739  0.019   17.525  0.017   17.462  0.026   0.000   -9.000  16.802  0.142   16.418  0.236   15.530  0.172   -27.620
000334.10+152753.8  0.892123    15.464956   0.9007  19.619  0.032   19.228  0.016   19.044  0.018   19.082  0.021   18.891  0.044   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.490
000335.20+144743.6  0.896700    14.795456   3.4841  24.442  0.853   21.187  0.051   20.243  0.028   20.072  0.032   19.994  0.108   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.668
000341.21-094101.0  0.921748    -9.683633   1.7391  20.205  0.065   19.984  0.029   19.955  0.024   19.755  0.031   19.602  0.110   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.350
000342.08+153628.7  0.925351    15.607983   1.5682  19.646  0.032   19.374  0.022   19.235  0.020   18.990  0.018   18.895  0.045   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.912
000345.23-110818.5  0.938468    -11.138497  1.5698  20.162  0.055   19.972  0.034   19.624  0.026   19.362  0.024   19.433  0.078   0.000   -1.735  0.000   0.000   0.000   0.000   0.000   0.000   -25.512
000405.44+141951.9  1.022706    14.331096   0.7917  19.757  0.041   19.407  0.018   19.189  0.015   19.139  0.018   18.962  0.048   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.273
000406.37-103815.2  1.026550    -10.637556  1.2686  19.236  0.042   19.165  0.019   19.014  0.025   19.012  0.018   19.085  0.056   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.361
000410.80-104527.1  1.045021    -10.757535  0.2397  18.131  0.025   17.944  0.020   17.680  0.027   17.533  0.013   17.431  0.021   0.000   -1.352  16.097  0.087   15.181  0.098   14.368  0.072   -22.827
000413.64-085529.6  1.056837    -8.924892   2.4237  18.843  0.042   18.223  0.017   18.142  0.017   18.078  0.016   17.854  0.028   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.790
000417.04+160554.0  1.071009    16.098359   0.4762  20.447  0.060   19.979  0.024   19.586  0.018   19.182  0.020   18.947  0.049   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.828
000419.47-110536.0  1.081136    -11.093337  1.2395  19.015  0.024   18.935  0.030   18.762  0.024   18.915  0.026   19.060  0.055   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.396
000421.02-003403.1  1.087610    -0.567536   1.4603  19.129  0.034   18.951  0.024   18.836  0.018   18.687  0.020   18.743  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.007
000422.29-090219.4  1.092912    -9.038725   1.8588  18.456  0.032   18.424  0.022   18.462  0.016   18.218  0.020   18.063  0.039   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.049
000424.16-085048.0  1.100698    -8.846676   2.4329  19.021  0.044   18.626  0.018   18.617  0.018   18.560  0.018   18.342  0.038   0.000   -9.000  17.070  0.182   16.696  0.279   16.135  0.328   -27.313
000431.05-100913.8  1.129379    -10.153834  0.4521  19.812  0.048   19.089  0.028   18.875  0.023   18.605  0.027   18.329  0.038   0.000   -1.551  0.000   0.000   0.000   0.000   0.000   0.000   -23.270
000433.93-004844.7  1.141382    -0.812432   1.2946  20.617  0.087   20.030  0.040   19.328  0.022   19.052  0.025   19.087  0.060   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.364
000434.01-100452.4  1.141733    -10.081237  1.0197  18.648  0.026   18.443  0.021   18.219  0.016   18.369  0.022   18.351  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.476
